100
53 90
13 2 19
10 43 19
40 33 40
33 49 38
35 30 19
23 44 42
34 16 19
47 31 38
48 42 48
52 27 49
45 30 19
40 52 38
31 51 38
18 8 48
23 24 48
46 52 19
51 37 19
20 32 19
12 14 19
40 45 48
6 20 19
7 52 38
40 18 48
49 36 38
20 23 19
9 17 19
24 29 48
3 2 7
43 12 19
9 33 42
19 30 19
14 11 19
11 45 48
3 36 38
32 25 48
8 38 38
12 28 48
42 41 19
22 33 38
36 52 38
2 11 7
3 42 42
14 28 19
51 5 48
36 6 38
14 32 19
38 35 42
15 45 48
30 35 19
12 3 48
20 52 19
44 20 19
36 47 36
37 23 19
40 53 19
14 27 19
44 19 19
4 51 38
9 37 19
13 30 19
12 23 48
28 45 48
5 12 5
49 27 49
53 6 19
22 44 38
18 19 19
45 3 48
1 32 48
47 31 38
47 5 48
9 51 42
16 41 19
51 46 19
21 51 48
40 9 42
34 28 26
41 5 19
2 7 7
33 50 38
47 42 42
25 45 48
12 15 48
6 39 42
21 28 48
34 37 19
8 39 42
45 49 48
25 9 42
49 37 19
15 59
9 11 9
7 11 7
2 14 1
12 15 15
3 9 9
11 6 2
11 7 7
11 3 11
8 4 1
7 14 13
13 9 9
8 12 2
11 10 9
6 13 2
9 13 9
6 15 2
12 15 15
6 8 8
15 12 15
3 1 2
13 2 2
10 11 9
7 4 2
2 3 2
13 14 13
9 4 9
15 12 15
8 10 9
3 2 2
14 2 2
7 8 2
14 3 13
7 13 13
10 9 9
8 7 2
8 1 1
8 4 1
4 13 2
2 7 2
5 4 1
12 10 9
12 2 2
1 2 2
15 5 2
15 1 2
5 9 9
11 14 14
10 13 9
9 10 9
3 1 2
10 11 9
6 2 2
2 13 2
4 11 2
2 15 2
6 5 5
15 7 2
2 4 2
1 6 1
36 12
31 26 11
14 10 28
6 34 28
17 26 28
31 21 28
21 33 24
19 5 28
19 21 26
1 2 28
9 22 26
22 10 28
33 34 18
3 3
1 2 2
2 3 3
3 1 1
4 2
2 1 2
1 4 3
52 24
48 1 22
41 12 23
43 9 23
42 33 23
27 39 27
45 28 23
36 37 23
46 15 27
45 48 23
32 48 27
2 46 2
31 27 27
41 52 23
13 11 23
18 38 27
10 19 27
6 51 23
1 2 2
40 3 23
14 17 26
17 18 27
43 1 23
22 11 23
3 22 23
32 84
7 14 13
10 16 13
17 32 13
31 32 30
13 15 13
18 9 13
11 21 30
22 25 22
30 28 13
31 24 13
24 32 13
30 21 30
17 16 13
32 26 30
5 2 30
12 8 30
1 14 14
12 31 12
25 4 30
15 30 13
26 5 30
25 9 13
6 27 22
6 17 13
7 8 30
6 15 13
10 11 13
31 23 12
16 8 13
4 16 13
29 27 30
5 8 30
12 29 30
26 16 13
28 30 13
28 2 13
16 19 13
28 19 13
23 28 13
10 18 18
27 32 30
22 31 30
16 13 13
2 6 30
4 27 30
9 7 13
16 18 13
12 18 13
19 22 13
20 1 13
24 32 13
4 6 30
25 8 30
4 11 11
8 5 30
20 11 30
20 24 13
25 13 13
22 17 13
2 15 13
5 2 30
32 11 30
9 12 13
26 11 30
27 11 30
27 12 30
25 8 30
22 5 30
12 8 30
29 24 13
19 2 13
8 30 30
23 16 13
4 28 13
32 22 30
17 18 13
21 20 23
13 19 13
17 8 13
6 24 13
28 18 13
25 26 30
9 28 13
10 2 13
60 120
58 19 43
1 31 43
11 23 30
23 25 30
13 30 30
22 50 43
26 56 43
15 51 30
22 47 43
57 55 30
60 15 43
1 21 43
22 4 43
60 41 43
27 8 43
1 31 43
45 50 30
26 25 20
45 19 35
11 37 30
51 12 20
45 57 30
20 53 43
14 25 30
26 36 30
31 24 43
