Case #1: 111
1 2 213092
1 19 90841
1 9 299922
1 11 273185
1 13 148095
2 32 360618
2 1 213092
2 26 304842
2 13 149844
3 17 331668
3 9 372239
4 2 67717
4 12 113271
4 31 115740
5 25 290208
5 10 275453
5 28 224558
6 4 175527
6 10 243025
7 16 108893
7 19 108517
7 27 200118
7 12 171731
8 16 79868
8 25 183266
8 31 180646
9 32 281761
9 3 372239
9 24 200218
9 15 303570
10 18 334685
10 6 243025
10 27 237861
10 31 13428
11 20 205553
11 26 280088
11 13 125090
11 30 317651
12 18 328035
12 21 46275
12 13 46369
13 1 148095
13 18 304213
13 21 15131
13 11 125090
13 14 205310
14 4 156049
14 10 235782
14 13 205310
15 16 257550
15 8 285275
15 9 303570
16 19 376
16 8 79868
16 31 101530
17 16 87181
17 3 331668
17 7 21712
17 30 134344
18 19 270948
18 25 320471
18 26 423783
18 12 328035
18 30 81390
19 16 376
19 18 270948
19 22 78548
19 24 114987
19 13 57254
20 19 167979
20 24 138196
20 31 81560
21 12 46275
21 30 207692
22 17 165353
22 6 233847
22 15 335722
24 16 115363
24 20 138196
24 27 234860
25 32 195184
25 5 290208
25 11 141348
25 13 46520
25 15 173375
26 18 423783
26 7 261352
26 11 280088
27 18 237566
27 21 192258
27 23 177416
27 24 234860
27 11 82299
28 5 224558
28 25 140605
28 29 118280
29 1 66243
29 8 1957
29 11 262483
29 12 185072
30 17 134344
30 18 81390
30 5 235266
30 11 317651
31 16 101530
31 20 81560
31 21 48744
31 8 180646
31 30 256436
32 25 195184
32 29 261509
Case #2: 66
1 2 181672
1 7 322827
1 13 504775
2 16 111225
2 17 418664
2 9 89972
2 12 112725
2 15 374097
3 5 166569
3 11 426569
3 13 326746
4 5 107335
4 10 24483
4 12 180549
5 17 379153
5 4 107335
5 11 269406
5 15 413608
6 1 412559
6 2 314375
6 8 490010
6 12 343612
6 15 74009
7 1 322827
7 8 329173
7 13 459311
8 5 335491
8 7 329173
8 14 767039
9 17 508636
9 4 157796
9 15 298412
10 17 337540
10 6 281612
10 14 535680
11 17 109747
11 3 426569
11 5 269406
11 13 204969
11 15 624642
12 2 112725
12 4 180549
12 6 343612
12 10 205032
12 13 566529
13 17 95222
13 2 453804
13 6 692075
13 11 204969
14 16 634493
14 1 704940
14 8 767039
14 11 593172
15 17 619330
15 5 413608
15 9 298412
16 2 111225
16 5 150736
16 7 252380
16 11 420142
16 14 634493
