645 320
495 67 0
567 233 1
535 163 0
215 227 1
210 175 1
215 203 1
563 123 0
201 260 1
215 277 1
424 155 1
113 104 1
567 216 0
502 319 1
452 313 0
520 199 1
222 0 0
147 294 1
215 267 0
502 165 1
421 139 0
557 232 0
201 221 1
210 233 1
215 207 0
567 255 1
442 293 0
210 231 1
304 120 1
215 116 0
222 281 1
215 231 1
216 308 1
222 98 1
215 261 1
210 219 1
34 260 0
215 125 1
499 67 1
560 316 0
147 313 1
113 0 0
304 134 1
210 255 1
210 253 1
222 97 0
210 187 1
421 314 1
560 200 1
499 302 0
643 0 1
424 297 1
138 187 0
215 170 1
415 0 0
421 145 0
97 135 1
415 252 0
210 241 1
210 240 1
536 201 0
502 292 0
605 0 1
222 293 0
210 160 1
605 200 1
138 211 1
499 318 1
147 228 0
210 236 1
210 235 1
169 303 0
201 0 0
147 90 1
210 234 1
304 188 0
383 205 1
215 221 0
168 0 1
535 229 1
215 140 1
34 270 0
421 310 0
534 121 1
138 126 0
215 223 1
215 319 1
1 98 0
567 247 0
452 228 0
34 232 1
1 145 0
215 314 1
215 311 1
215 259 1
534 227 1
643 123 1
567 224 1
215 301 1
216 227 0
567 296 1
201 124 1
304 315 1
215 131 0
210 208 1
383 76 1
643 202 1
304 101 0
111 0 0
499 228 0
210 203 1
147 174 0
502 0 0
210 197 1
210 192 1
147 251 1
421 223 0
567 243 0
567 63 1
567 257 0
607 286 1
138 267 0
304 231 1
421 217 1
629 62 0
169 230 0
210 210 1
215 300 1
34 250 1
629 272 1
215 247 0
34 177 0
110 0 1
215 313 1
536 255 1
210 0 0
607 254 1
567 207 1
215 265 0
215 288 1
560 296 0
304 175 1
215 291 1
421 193 1
563 232 0
215 251 0
147 269 0
215 281 1
567 221 1
215 219 1
495 247 1
605 255 0
567 275 1
557 201 1
120 305 0
215 318 1
495 292 0
216 241 0
415 316 0
210 213 1
560 271 0
563 254 0
210 185 1
215 197 0
536 275 1
560 64 1
567 301 0
120 207 0
452 202 0
222 128 1
120 284 1
452 168 0
215 296 1
215 122 1
113 121 1
215 128 0
643 288 0
502 66 1
34 132 1
215 101 0
210 212 1
502 231 1
421 151 0
567 249 0
210 248 1
210 117 0
210 166 1
222 99 0
222 100 1
215 93 1
520 121 1
215 187 0
215 89 1
215 239 0
169 293 1
643 311 1
210 85 0
222 110 1
520 0 0
138 0 1
1 285 0
442 255 0
210 198 1
424 0 0
216 191 0
169 298 0
442 221 0
424 220 0
222 85 1
138 281 1
120 183 0
210 243 1
643 62 1
421 274 0
495 316 0
304 119 1
215 284 1
215 278 1
215 285 1
34 312 0
147 304 1
536 121 0
138 228 1
567 169 0
34 292 1
304 132 1
605 122 1
216 270 0
215 183 0
215 149 1
201 286 0
215 297 1
415 300 1
215 294 1
534 65 0
216 85 1
442 0 1
534 248 0
215 295 1
222 231 1
120 253 1
536 232 0
502 310 0
169 283 1
567 282 0
304 275 1
215 215 1
215 280 1
560 231 1
304 279 1
535 283 0
215 104 0
210 232 1
210 228 1
1 243 0
605 309 1
215 201 0
304 133 1
421 234 1
520 287 1
421 239 1
383 232 1
147 283 1
97 163 1
495 199 0
499 198 1
536 288 0
567 278 0
210 249 1
210 172 0
421 264 1
215 237 0
304 227 1
215 167 0
215 271 1
215 164 1
169 252 1
